the: то
ithaca: итаки
martian: марсианин
pilgrim: Пилигрим
sap: сап
incentive: стимул
cadillac: Кадиллак
comparatively: сравнительно
jericho: Иерихон
maximus: Максим
limb: лимб
jalan: джалан
avenues: проспекты
zionist: сионист
encryption: шифрование
esperanto: эсперанто
divides: делит
confuse: путаете
prc: КНР
shaping: формирование
reminder: напоминание
prosperous: Процветающая
torino: Турин
navy's: военно-морского флота
lied: соврал
bonaparte: Бонапарт
mata: мата
slots: слоты
hazards: опасности
purity: чистота
anarchism: анархизм
executions: казни
manny: Мэнни
mayoral: мэрские
elijah: Илия
boy's: мальчика
intervene: вмешаться
reactors: реакторы
fabian: Фабиан
susceptible: восприимчивы
puzzles: загадки
suites: люксы
nes: рэш
chem: хим
heidi: Хайди
at-large: в целом
iq: коэффициент интеллекта
bono: Боно
bandits: бандиты
darryl: дэррил
musicians-related: музыканты, связанные с
argent: серебро
ingrid: Ингрид
anastasia: Анастасия
chattanooga: чаттануга
pest: вредитель
banners: баннеры
shelton: Шелтон
constructions: конструкций
mecca: Мекка
herrera: херрера
ecosystems: экосистемы
ee: ээ
sermons: проповеди
tuned: настроенный
trolley: тележка
sociological: социологический
inevitably: неизбежно
mcleod: маклеод
sesame: кунжут
sardinia: Сардиния
navigator: навигатор
oro: Оро
catering: питание
remembers: помнит
cerro: серро
luciano: лучиано
populous: густонаселенный
jewels: драгоценности
exploits: подвиги
scared: страшно
encore: бис
transporting: транспортировки
sundance: сандэнс
ritter: Риттер
erect: возводить
zealand's: Зеландии
pri: при
bai: бай
bison: ЗУБР
warrants: ордера
denton: дентон
zeus: Зевс
oyster: устричный
federalist: федералист
delle: делле
gottfried: Готфрид
vascular: сосудистые
cooler: кулер
emerges: возникает
bismarck: Бисмарк
bharatiya: бхаратия
industrialist: промышленник
irina: Ирина
mart: рынока
lookout: смотровая
invade: вторгнуться
mbc: МБК
imminent: неизбежным
brandt: Брандт
sounded: звучало
congestion: заложенность
splash: всплеск
suppliers: поставщики
wfr: овф
cabal: кабаль
mcfarland: макфарланд
monograph: монография
whitehead: уайтхед
gull: Чайка
favourable: благоприятные
goats: Козлов
printers: принтеры
russia's: России
junctions: спаи
disregard: пренебрежение
policing: полиции
mifflin: миффлин
refurbished: отремонтированный
qur'an: Коран
lede: Лида
edn: обявили
belts: ремни
prompt: подскажите
commemorated: помянули
gonzales: гонзалес
coasts: берегов
mcdonald's: Макдональдс
plaster: штукатурка
theorist: теоретик
ineffective: неэффективными
fil: филь
wrath: гнев
cebu: Себу
waived: отказаться
coupling: муфта
whl: колесо
disagrees: не согласен
scare: пугать
brewster: Брюстер
expands: расширяется
recognizable: узнаваемый
rack: стойки
guernsey: Гернси
mirage: Мираж
veins: вен
rochdale: рочдейл
sicilian: сицилийский
hawker: лоточника
severity: тяжести
prakash: пракаш
seizure: захват
shelters: приюты
novella: новелла
hg: ртути
authorization: авторизации
contrib: ВНО
installment: рассрочка
ferris: Феррис
lyle: Лайл
hooper: Хупер
shirts: рубашки
butch: буч
rehearsal: репетиция
parramatta: парраматта
socket: гнездо
hackney: хэкни
fragile: хрупкая
nanjing: нанкин
talka: талка
mosques: мечети
operatic: оперные
tendencies: тенденции
deposition: отложение
patti: Патти
blvd: бульвар
voodoo: вуду
bose: бозе
partisans: партизаны
evicted: выселить
mcc: ЦУП
trusts: доверяет
forster: Форстер
unto: к
harrisburg: гаррисберг
monsoon: муссонный
ensembles: ансамбли
shepard: Шепард
alliances: альянсы
nebula: туманность
liberalism: либерализм
bicycles: велосипеды
larson: Ларсон
arbitrarily: произвольно
ob: Обь
serra: Серра
compares: сравнивает
hodges: ходж
spartak: Спартак
reader's: читателя
attendees: участники
david's: Давида
onion: лук
settler: отстойник
sliding: сползая
elector: курфюрст
montane: горные
mag: маг
ottomans: пуфики
seaside: побережье
ferreira: Феррейра
transverse: поперечная
wee: дите
zombies: зомби
tacoma: такома
investing: инвестирование
arctiidae: медведиц
discourage: отбить
oils: масла
quran: Коран
analyzing: анализ
veracruz: веракрус
elf: эльф
betrayal: предательство
thierry: тьери
donaldson: дональдсон
launcher: пусковой
saxophonist: саксофонист
unemployed: безработных
disclosed: раскрыта
compendium: компендиум
penetration: проникновение
hairs: волосы
neglect: пренебрежение
beg: прошу
obstacle: препятствие
occupations: занятия
mandir: мандир
isp: интернет-провайдер
louie: Луи
deprived: лишили
vapor: пара
jargon: жаргон
informing: информирование
convictions: убеждения
doubtful: сомнительно
distributing: распространение
black-and-white: черно-белый
pensions: пенсии
negotiation: переговоры
dora: Дора
karel: Карел
britannia: Британия
wrexham: рексем
integers: целые числа
novak: Новак
nv: Невада
vu: вю
kiel: киль
nguyn: нгуином
carthage: Карфаген
aut: апну
macleod: маклауд
pinto: пегой
accumulation: накопление
addison: эддисон
heels: каблуки
dunbar: данбар
anchors: якоря
stacey: Стейси
rihanna: Рианна
ewing: юинг
collided: столкнулся
donate: пожертвовать
curt: краток
prem: ООО
jailed: заключен в тюрьму
nguyen: Нгуен
vr: виртуальной реальности
ohl: охл
foothills: предгорья
landslide: оползень
skaters: конькобежцы
topographic: топографическая
curb: обуздать
cappella: капелла
nrl: нрл
eine: ете
professions: профессий
navajo: навахо
collaborating: сотрудничая
rods: стержни
transmit: передать
spheres: сферы
gui: графический интерфейс
son-in-law: зять
carriages: вагоны
community's: сообщества
scriptures: Писания
cottages: коттеджи
doherty: догерти
quay: набережная
interpreting: интерпретация
toad: жаба
prologue: пролог
hobbs: хоббс
cooperate: сотрудничать
itf: МТФ
communicating: общение
roadway: проезжей части
marguerite: Маргарита
mellon: меллон
vaughn: вона
gainesville: гейнсвилл
roundabout: окольными
boasts: гордится
d'tat: д консультат
vip: вип
coptic: коптский
endowed: одарила
royale: рояль
omnibus: омнибус
meritorious: заслуженный
carver: Карвер
filmfare: сольного
quarterfinal: четвертьфинал
sci-fi: Научно-фантастические
hh: чч
blackhawks: блэкхокс
phosphate: фосфатные
writ: приказ
fitzroy: фицрой
royalist: роялистов
jammu: джамму
republished: переиздаваться
canons: каноны
sumner: самнер
navarro: Наварро
compartment: отсек
fabricius: Фабрициуса
osprey: скопа
strengths: сильные стороны
engagements: занятия
novice: новичок
badges: значки
wooded: лесной
cypress: кипарис
raped: изнасиловали
distinctions: различия
gymnast: гимнаст
guadalupe: гуадалупе
joker: Джокер
compensate: компенсировать
hopper: Хоппер
rematch: реванш
buyer: покупатель
cis: СНГ
nemesis: Немезида
lynne: Линн
pleaded: умолял
anti: анти
duplication: дублирование
mitt: перчатка
jude: Джуд
eritrea: эритрея
britney: Бритни
three-dimensional: трехмерная
pulmonary: легочная
heal: лечить
aspen: аспен
alderman: олдермен
consultants: консультанты
fairbanks: фэрбенкс
contempt: презрение
veto: вето
rhymes: рифмы
laundry: прачечная
kildare: килдэр
grassland: пастбища
drastically: резко
conversions: преобразования
showdown: разборки
pennant: Вымпел
nicknames: ники
analytic: аналитическая
orbits: орбит
illuminated: освещенная
cradle: колыбель
emphasizes: подчеркивает
bully: хулиган
ire: гнев
injuring: ранив
proportions: пропорции
capitalist: капиталист
haitian: Гаити
lige: Лиги
palo: пало
durban: дурбан
ives: айвз
salvatore: Сальваторе
nara: Нара
corvus: корвус
socialists: социалисты
weaving: плетение
benito: Бенито
region's: области
multinational: многонациональные
idle: праздный
waterways: водных путей
fir: пихта
inverness: инвернесс
rabbis: раввины
connectivity: подключение
accuses: обвиняет
transformations: преобразования
defect: дефект
originate: происходят
mcguire: макгуайр
interacting: взаимодействие
dq: йй
soto: Сото
else's: еще
murals: фрески
informally: неофициально
jpn: Япония
domesday: Страшного Суда
reinforce: укрепить
fatigue: усталость
hound: гончая
fay: Фэй
truce: перемирие
blogger: блоггер
topical: актуальные
kbs: КБС
musa: Муса
yusuf: Юсуф
contaminated: загрязненные
lausanne: лозанна
pumping: насосная
willoughby: уиллоуби
comedic: комедийный
all-stars: все-звезды
blew: подул
palma: Пальма
konstantin: Константин
replacements: замены
soyuz: Союз
damned: проклятые
pictorial: живописные
ceded: переуступил
austro-hungarian: Австро-венгерский
invading: вторжение
learnt: узнал
nationalities: национальностей
relist: релист
lori: Лори
carole: Кароль
vertically: вертикально
worries: забот
turkmenistan: Туркменистан
hydro: гидро
simulator: симулятор
feeder: фидер
implementations: реализации
darius: Дария
d'ivoire: д'Ивуар
clerks: Дьяков
qa: ок
goldstein: Гольдштейн
ironic: иронично
insisting: настаивая
ama: ама
kosmos: космос
gibb: гибб
churchyard: погост
henry's: Генри
hivaids: ВИЧ / СПИДа
idiot: идиот
anti-tank: анти-танк
morale: мораль
upward: вверх
youths: молодежь
co-production: совместное производство
hawthorn: боярышник
systematically: систематически
pollard: поллард
dusty: пыльный
hidalgo: идальго
pepsi: пепси
shea: Ши
drowning: утопление
travellers: путешественники
joints: суставы
grenada: Гренада
shrimp: креветки
zack: Зак
expenditure: расходы
hostages: заложников
queries: запросы
abdomen: брюшко
positioning: позиционирование
edible: съедобные
covert: скрытые
disrupted: нарушена
certainty: определенность
collaborator: коллаборационист
anglia: Англии
silesia: Силезии
woodrow: вудроу
pluto: Плутон
chased: гоняли
hygiene: гигиена
junta: хунта
everest: Эверест
articulated: сочлененный
runoff: стока
al-qaeda: Аль-Каида
jip: жип
vinci: Винчи
referees: судьи
alexei: Алексей
turkic: тюркские
bianca: Бьянка
manifest: манифест
bey: бея
coefficients: коэффициенты
alvarez: Альварес
dietrich: Дитрих
erupted: разразился
burrows: норы
bloomfield: блумфилд
hornets: шершни
hahn: хан
ecumenical: вселенский
tuscany: Тоскана
bathurst: батерст
matrices: матрицы
elevations: фасады
energies: энергии
owls: совы
ireland's: Ирландии
lifts: лифты
rooney: Руни
pines: сосны
sabotage: саботаж
scorpion: Скорпион
medici: Медичи
titanium: титан
witchcraft: колдовство
unitarian: унитарианская
barclay: Барклай
ingram: инграм
bois: Буа
fuzzy: нечетко
scenery: пейзажи
christy: Кристи
insurgents: боевики
baronetage: книгу баронетов
prohibit: запретить
moonlight: лунный свет
nf: НФ
gentry: шляхта
gorilla: горилла
blazers: блейзеры
rp: РП
jar: банку
negotiating: ведение переговоров
drury: друри
zaragoza: Сарагоса
disciplinary: дисциплинарные
amplifier: усилитель
isabelle: Изабель
reputed: известных
contender: претендент
ineligible: неприемлемыми
saddam: Саддам
sleeper: шпала
novelty: новинка
conductors: проводники
ebert: эберт
marlins: марлины
janice: Дженис
admittedly: конечно
navarre: наварра
gambia: гамбия
sasha: Саша
scarce: скудные
hacker: хакер
anyways: в любом случае
sickness: болезни
elongated: удлиненный
orkney: оркнейские
condensed: сгущенное
mcintyre: макинтайр
palin: палин
enhancement: повышение
jazeera: Джазира
nests: гнезда
voyages: путешествия
seeded: засевают
olympiad: олимпиада
knocking: стучать
prostitute: проститутка
gators: аллигаторы
bryce: Брайс
czechoslovak: чехословацкие
sails: паруса
casablanca: Касабланка
disappears: исчезает
hanoi: Ханой
bradshaw: Брэдшоу
instructional: учебные
delist: делистинг
barge: баржа
mcdowell: МакДауэлл
radcliffe: редклифф
strains: штаммы
gems: драгоценные камни
ensures: обеспечивает
auditions: прослушиваний
fabio: Фабио
sweat: пот
jihad: джихад
subcategory: Подкатегория
bridger: бриджер
viper: гадюка
foreseeable: обозримом
armando: Армандо
museum's: музея
burr: заусенцев
thth: основным
rutland: ратленд
emotionally: эмоционально
banquet: банкет
humanist: гуманитарий
suriname: суринам
lar: лар
maharaja: Махараджа
groves: рощи
criticizing: критику
dilemma: дилемма
narration: повествование
consoles: приставки
mercenaries: наемники
intensified: усилились
spanned: натянутое
cute: милые
stand-up: встать-встал
trolls: тролли
jana: джана
integrating: интегрируя
doha: Доха
romano: Романо
legislators: законодатели
heel: каблук
gallantry: галантность
federally: федерально
slowed: замедлился
hari: Хари
sarawak: саравак
overland: сухопутный
cavendish: Кавендиш
rig: установка
homo: гомо
hedge: хедж
foreground: на переднем плане
bard: бард
ellington: эллингтон
ups: ИБП
spartans: спартанцы
remnant: остаток
exceeds: превышает
dp: ДП
fredrik: Фредрик
nadia: Надя
animalia: мир животных
walden: уолден
semantics: семантика
breakup: расставание
proponent: сторонник
dn: различающееся имя
diplomats: дипломаты
medicines: лекарства
amc: КУА
racers: гонщики
greenberg: Гринберг
locus: локус
ordination: посвящение
gardening: садоводство
enforcing: исполнение
globalization: глобализация
collaborators: коллаборационисты
mika: Мика
supplemented: дополнить
predominant: преобладающим
france's: Франции
controllers: контроллеры
perfection: совершенство
salesman: продавец
advertiser: рекламодатель
tata: Тата
grandmaster: гроссмейстер
usernames: имена
gears: шестерни
o'connell: О'Коннелл
karim: Карим
battling: сражаясь
kew: Кью
moshe: Моше
inviting: приглашение
possessing: иметь
republics: республик
drained: сливают
unwanted: нежелательные
explosions: взрывы
eb: ЭБ
hiroshi: хироси
hunted: охотились
siberian: Сибирский
exaggerated: преувеличены
augsburg: Аугсбург
expatriates: экспатрианты
lifeboat: спасательная шлюпка
bishop's: епископа
americana: американа
bilbao: Бильбао
wrist: наручные
ctv: СТВ
fugitive: беглец
induce: вызывать
lexicon: лексикон
aquatics: водным видам спорта
emigrants: эмигрантов
dagger: кинжал
bidding: торги
walled: замуровали
wilkes: уилкс
dietary: диетическое
mateo: Матео
auspices: эгидой
mathematicians: математиков
backdrop: фоне
nikolay: Николай
slipped: подсунули
unbeaten: непобедимым
regents: регентов
occurrences: случаи
building's: здания
horseshoe: подкова
everyone's: все
kicker: кикер
ratios: коэффициенты
pia: пиа
peppers: перец
tnt: ТНТ
pegasus: Пегас
fern: папоротник
indications: показания
horne: Хорн
on-screen: на экране
cumulative: совокупный
babylonian: вавилонский
bored: скучно
sacrifices: жертвы
fictitious: фиктивный
skins: скины
well-being: благополучия
christophe: Кристоф
internacional: интернасьонал
kilda: килда
posing: позирует
mei: МЭИ
interestingly: интересно
incentives: стимулы
coincided: совпало
hash: хэш
vastly: значительно
evasion: уклонение
co-host: соведущий
calculating: расчет
multi: несколькими
insistence: настаивание
decomposition: разложение
bikes: велосипеды
hoffmann: хоффманн
metabolic: метаболический
uruguayan: уругваец
palais: дворец
majesty's: величества
gregorian: григорианский
fide: ФИДЕ
dupont: Дюпон
newsweek: "ньюсуик"
general's: генерала
eastwood: Иствуд
wharton: уортон
disadvantage: недостаток
rani: рани
draper: драпировщик
perceive: воспринимать
unconstitutional: неконституционно
andersson: Андерссон
bureaucrats: чинуши
ike: Айк
detectives: детективы
salaries: зарплаты
ursula: Урсула
babu: бабу
burundi: Бурунди
gunnar: Гуннар
sheppard: Шеппард
shareholder: акционер
rus: Русь
staples: скобы
repealed: отменен
sensing: зондирования
lore: знания
retro: ретро
algiers: Алжир
afp: Франс Пресс
monterrey: Монтеррей
mollusca: моллюсков
spire: шпиль
pivotal: ключевой
beaufort: бофорт
efficacy: эффективность
francesca: Франческа
son's: сына
toes: пальцы
liberated: освобожденных
transmissions: передачи
downing: Даунинг
winery: винзавод
repression: репрессии
nakamura: Накамура
domenico: Доменико
guo: ГУО
trafford: Траффорд
wiener: Винер
vuelta: вуэльта
princely: княжеский
portage: волок
chaplin: Чаплин
gladys: Глэдис
ari: Ари
superb: великолепный
cowan: кован
yamaguchi: ямагути
sbastien: Себастьен
zoological: зоологический
albrecht: Альбрехт
manuals: руководства
lungs: легкие
housemates: соседи
andorra: Андорра
medium-sized: средние
duane: Дуэйн
exposing: подвергая
stimulation: стимуляция
prescription: рецепт
marches: марши
queer: странно
hated: ненавидел
blizzard: пурга
duran: Дюран
unmanned: беспилотный
bmg: бмг
dormant: спящие
metz: мец
lillian: лиллиан
anti-semitism: антисемитизм
henley: Хенли
astronauts: космонавты
wrap: обертывание
synonyms: синонимы
jesuits: иезуиты
bounce: отказов
tomato: помидор
distorted: искажены
counselor: советник
detainees: задержанных
seychelles: Сейшелы
okrug: округ
pencil: карандаш
unspecified: неуказанные
czar: царь
proliferation: распространение
improvised: импровизированные
hamid: Хамид
pont: понт
raion: район
sire: сир
prophets: пророки
halle: халле
bingham: бингхэм
jerk: сопляк
andrzej: Анджей
gently: аккуратно
hua: Хуа
granville: гранвиль
cline: Клин
dogg: догг
foam: пена
drains: водостоки
mic: микрофон
daryl: Дэрил
erica: Эрика
wetland: заболоченный
prosecutors: прокуроры
grossly: грубо
wasp: Оса
motown: мотаун
cska: ЦСКА
dortmund: Дортмунд
grandparents: бабушки и дедушки
expos: Экспо
macquarie: маккуори
harlan: Харлан
opium: опиум
conspicuous: бросается в глаза
north-central: Северо-Центральный
gee: гы
mathews: Мэтью
haley: Хейли
tastes: вкусы
cerambycidae: усачей
dauphin: дофин
crisp: хрустящий
invasions: нашествий
airfields: аэродромов
baths: бани
noctuidae: совки
keane: Кин
kaye: кайе
dmitri: Дмитрий
antilles: Антильские острова
cleaner: чище
aztec: ацтекский
specifies: указывает
ensued: последовало
lieutenant-colonel: лейтенант-полковник
armand: Арманд
maize: кукурузы
indexed: проиндексированных
hairy: волосистая
highlanders: горцы
torpedoes: торпеды
goldsmith: голдсмит
karin: Карин
sinn: синн
commendation: благодарность
amounted: составил
crocodile: крокодил
influenza: гриппа
vanuatu: Вануату
vanished: исчез
supremacy: превосходство
pensacola: пенсакола
takahashi: такахаши
aw: ой
ara: Ара
lilly: Лилли
fuchs: Фукс
bla: бла
tracts: участки
pun: каламбур
humidity: влажность
cleopatra: Клеопатра
eclectic: эклектика
govern: управлять
eternity: вечность
ingredient: ингредиент
ol: пр
axes: топоры
coating: покрытие
spellings: написание
emery: Эмери
styling: укладка
bakery: хлебопекарни
och: оч
differed: отличались
herbs: травы
lombard: ломбард
bala: бала
pawn: пешка
shortstop: приятели
readiness: готовность
jai: джай
o'sullivan: О'Салливан
bog: болото
canoeing: каноэ
taekwondo: тхэквондо
nerves: нервы
skyscraper: небоскреб
bodyguard: телохранитель
ignores: игнорирует
neue: нойе
hodgson: Ходжсон
fuse: взрыватель
formulas: формулы
economical: экономичный
stables: конюшни
shen: Шен
sic: Зю
oboe: гобой
punish: наказать
trophies: трофеи
detrimental: вредно
daring: смелые
annette: аннетт
woo: ву
collateral: залога
guildford: гилфорд
trailers: трейлеры
contraction: сокращение
shattered: вдребезги
rumble: рокот
erika: алиночка
orphanage: детский дом
idf: Армии обороны Израиля
engages: занимается
lineman: обходчик
sharif: Шариф
encompassing: охватывая
sebastin: Себастьян
quezon: кесон
cdc: цкз
philanthropy: человеколюбие
claremont: клэрмонт
isis: Исида
avoids: избегает
pistons: поршни
evangelist: евангелист
indicted: обвинение
ditions: условия
veil: вуаль
diverted: отвлекли
shocking: шокирующие
rugged: прочный
multiplication: умножение
porcelain: фарфор
od: ОД
nec: нэк
siam: Сиам
weighs: весит
sticky: липкий
downward: вниз
bergman: Бергман
lennox: Леннокс
mounds: курганы
salute: салют
slain: убит
lucien: Люсьен
highness: высочество
chong: Чон
muddy: мутят
honoring: чествование
djs: диджеи
abruptly: резко
wilcox: уилкокс
yao: ЯО
chun: Чун
crypt: крипта
amidst: среди
o'clock: часов
mutants: мутанты
ropes: веревки
supplementary: Дополнительная
manufactures: производит
tightly: плотно
cigarettes: сигареты
civilizations: цивилизаций
deng: Дэн
alton: альтон
framing: обрамление
orthodoxy: православие
delicious: вкусные
stainless: нержавеющая
cunard: кунард
hurst: Херст
rotherham: ротерем
tensor: тензор
nair: наир
dank: промозглый
reset: сброс
balancing: балансировка
dire: остро
benfica: Бенфика
recommends: рекомендует
lev: Лев
jerzy: Ежи
parc: парк
convened: созвал
syllables: слоги
waller: уоллер
texans: техасцы
perceptions: восприятие
leach: лич
carving: высекать
nutrients: питательные вещества
cartridges: картриджи
viz: а именно
viet: Вьетнам
louvre: Лувр
echoes: Эхо
traveller: путешественник
hun: гунн
sable: Соболь
hagen: Хаген
laval: Лаваль
installing: установка
massimo: Массимо
yunnan: юньнань
sewage: сточных вод
reformer: реформатор
turnover: оборот
grayson: Грейсон
tot: карапуз
fabulous: сказочные
ngos: НПО
blatantly: нагло
tanya: Таня
organising: организация
baptized: крестили
ioc: МОК
acta: АСТА
phonetic: фонетический
hilo: хило
barley: ячмень
flashback: воспоминания
reigned: царила
west-central: Западно-центральной
calvert: калверт
advertise: рекламировать
blackout: светомаскировка
configurations: конфигурации
council's: Совета
newtown: Ньютаун
mani: мани
retrieval: извлечение
frankenstein: Франкенштейн
masonry: кладка
paisley: пейсли
contradiction: противоречие
loyalist: лоялист
gladstone: гладстон
repeal: отменить
slash: Слэш
misses: не попадает
mermaid: русалка
mbe: мпэ
secretaries: секретари
simulcast: одновременной
mckenna: маккенна
bubbles: пузыри
kickoff: начало
make-up: макияж
asturias: астурия
distributors: дистрибьюторы
dieter: Дитер
hn: хн
alla: Алла
zum: ЦУМ
deco: деко
enfield: энфилд
mahmoud: Махмуд
westbound: Запад
markham: маркхэм
prism: призма
jolly: джолли
reversal: разворот
enigma: Энигма
euros: евро
regal: царственная
banda: банда
tolkien: Толкиен
beau: денди
reelected: переизбран
list-class: список-класс
ambitions: амбиции
salsa: сальса
earls: графы
kraft: крафт
purported: предполагаемый
twain: Твен
amadeus: Амадей
westchester: уэстчестер
confer: посовещаться
beech: бук
locker: шкафчик
mats: коврики
tokugawa: Токугава
pretoria: претория
amar: амар
censor: цензор
amend: вносить изменения
valuation: оценка
vivid: яркие
attends: посещает
arenas: арен
secession: отделение
benefited: выиграли
eastbound: в восточном направлении
bray: реветь
hurley: Херли
husbands: мужья
arg: арг
narratives: рассказы
accountant: бухгалтер
transitions: переходы
tyre: шины
clerical: клерикальные
guise: обличье
entrants: участники
ska: СКА
believer: верующий
stylistic: стилистические
fleetwood: флитвуд
rhino: носорог
sachs: Сакс
cinderella: Золушка
bayer: Байер
reza: реза
orphans: детей-сирот
firth: Ферт
gabrielle: Габриэль
jameson: джеймсон
well-written: хорошо написано
stat: стат
ridley: ридлея
mongols: монголы
pubs: пабы
nunavut: нунавут
jarrett: джарретт
hates: ненавидит
tortricidae: листовертками
newbie: новичок
insignificant: незначительные
consuming: потребляя
keyboardist: клавишник
quota: квоты
knees: колени
salad: салат
vibration: вибрации
rashid: Рашид
one-off: разовые
ying: ин
appleton: аплтон
densely: густо
tsr: тмр
edna: Эдна
dustin: Дастин
premiers: премьеры
muscular: мускулистое
in-house: в доме
harrow: борона
iata: иата
bridget: Бриджит
longitudinal: продольная
plagued: мучают
scholastic: схоластический
clauses: положения
fremont: фримонт
messaging: Сообщений
practised: практикуется
cornerstone: краеугольный камень
molina: Молина
someday: когда-нибудь
wainwright: уэйнрайт
outdoors: на открытом воздухе
ventilation: вентиляция
telecommunication: электросвязи
charley: Чарли
notwithstanding: несмотря на
pretending: прикидываетесь
cosmology: космология
intercity: междугородные
johanna: Джоанна
shandong: Шаньдун
maneuver: маневр
spd: СДПГ
sediment: осадок
high-level: высокого уровня
maha: Маха
hes: ГЭС
kimberley: Кимберли
aqueduct: акведук
hillside: склоне
bedfordshire: бедфордшир
orr: орр
utilizes: использует
underside: изнанку
showtime: шоутайм
gu: ГУ
steamship: пароход
gearbox: коробка передач
samba: Самба
kimberly: Кимберли
welles: Уэллс
albans: альбанов
sumo: сумо
disks: диски
kant: Кант
forewings: передние крылья
pinned: прикололо
anthologies: хрестоматии
coinage: чеканки
sexes: полов
ching: Цзин
aeronautical: Авиационная
magnolia: магнолия
sorrow: печаль
state-owned: государственные
fitzpatrick: фицпатрик
auschwitz: Освенцим
wcw: великих
somme: сомм
weddings: свадьбы
clemens: Клеменс
fairchild: фэйрчайлд
sprinter: Спринтер
cesar: Цезарь
gunfire: стрельба
adjunct: адъюнкт
favorites: избранное
commissioning: ввод в эксплуатацию
bulldog: бульдог
egyptians: египтяне
wolverines: Росомахи
stereotypes: стереотипы
day-to-day: день-в-день
peoria: пеория
one-third: треть
doctrines: учения
dioceses: епархий
sequels: сиквелы
suffice: хватит
lew: лью
wessex: уэссекс
welding: сварка
outsiders: аутсайдеры
converter: конвертер
formidable: Грозный
concessions: уступки
fibre: волокна
siemens: Сименс
raided: громили
readable: читабельно
picasso: Пикассо
lcd: ЖК
revoked: отменено
mcmillan: макмиллан
csi: ибк
rot: сгниет
usefulness: полезность
thriving: процветает
octopus: осьминог
broker: брокер
temptation: искушение
irony: ирония
aristocratic: аристократичный
insider: инсайдер
incompatible: несовместимые
longevity: долголетие
bender: Бендер
pedigree: родословная
jedi: джедай
siegfried: Зигфрид
antisemitism: антисемитизм
wilfred: уилфред
gillian: Джиллиан
kylie: Кайли
grams: грамм
bwv: був
fore: план
imagined: представлял
reuben: рувим
capitalization: капитализация
rewriting: переписывание
adjutant: адъютант
auditor: аудитор
revolutions: революций
unpleasant: неприятно
construed: толковать
protagonists: герои
lego: Лего
lpga: чемпионат
parti: партия
sociologist: социолог
horst: Хорст
aguilera: Орбакайте
banco: банк
faulkner: Фолкнер
acquires: приобретает
outgoing: исходящие
guarded: охраняемая
europe's: в Европе
cher: Шер
outlaws: преступники
ip's: ИС
inadvertently: ненароком
luc: люк
buena: буэна
cocktail: коктейль
chairperson: председатель
implicated: замешаны
wedge: Клин
waterfalls: водопады
intrinsic: внутренние
compiling: составление
maguire: Магуайр
polished: полированный
pushes: толкает
clones: клоны
beyonc: названия
bitch: стерва
orson: Орсон
progressively: постепенно
business-related: бизнес-обзоры
healy: Хили
hid: спрятал
roanoke: роанок
fade: исчезают
frigates: фрегаты
penned: написал
westfield: вестфилд
landowner: помещик
neighbour: соседи
shalom: Шалом
collapsible: складной
projections: прогнозы
mandy: Мэнди
rebirth: возрождение
campos: кампос
nicholls: Николс
barnet: Барнет
ifk: ИФК
yerevan: Ереван
chao: Чао
crust: корочки
chevalier: шевалье
cruft: хлама
realization: реализации
roberta: Роберта
godfather: Крестный отец
toss: бросить
half-brother: единокровный брат
cartel: картель
beers: пиво
nils: Нил
harpercollins: пластинки
chiba: чиба
walsall: уолсолл
pow: военнопленных
awake: проснулся
breeze: ветерок
locking: Блокировка
cid: Сид
drafts: проекты
hess: Гесс
easiest: простой
epoch: эпоха
notions: понятия
admitting: признать
cognition: познание
peninsular: полуостровной
hottest: горячие
faroe: Фарерские
localized: локализованные
doubling: удвоение
deux: ДЕЗ
massacres: резня
overture: Увертюра
facilitated: способствует
palaces: дворцы
jimmie: Джимми
kelvin: Кельвин
trimmed: подстриженные
milky: Млечный
poisoned: отравили
eastman: истман
mannheim: мангейм
restrictive: ограничительные
experimentation: эксперименты
confessed: признался
depart: отойдет
renal: почечная
assemble: собрать
capacities: возможности
novo: Ново
smuggling: контрабанда
abide: соблюдать
desperately: отчаянно
jaguars: ягуары
bridgeport: бриджпорт
terminate: расторгнуть
decatur: декейтер
penang: пенанг
brest: Брест
phoebe: Фиби
relaxed: расслабились
ribs: ребрышки
biplane: биплан
angered: злят
virtues: достоинства
lining: подкладка
pontifical: папский
anatolia: Анатолии
rum: ром
superficial: поверхностные
vn: вн
ayrshire: эйршир
yeast: дрожжи
andrey: Андрей
reaper: жнец
traveler: путешественник
harness: жгут
testify: показания
multi-purpose: многоцелевой
packing: упаковка
offseason: межсезонье
yamamoto: Ямамото
severed: отрубленные
appleyard: эплярд
rochelle: рошелл
menace: угроза
interiors: интерьеры
halftime: в перерыве
encyclopedias: энциклопедии
jewellery: ювелирные изделия
technicians: техники
bosch: Босх
qr: посетители
concurrency: параллелизм
derivation: деривация
fielder: игрок
conserved: сохраняется
rust: ржавчина
topological: топологические
incidental: случайные
yarmouth: ярмут
downfall: падение
owning: владеть
grading: градуировку
frontman: вокалист
mist: туман
pity: жаль
non-existent: несуществующий
mcgregor: МакГрегор
electrified: электрифицированные
bcs: БКС
rk: РК
multitude: множество
hawthorne: хоторн
spitfire: злючка
fontana: фонтана
tempest: темпест
iroquois: ирокезы
asiatic: азиатчина
cheating: обман
seismic: сейсмические
rave: рейв
hodge: ходж
translators: переводчики
dependency: зависимость
appropriations: ассигнований
nowiki: строки
